Order ID,Order Date,Product Name,Category,Region,Customer ID,Quantity,Unit Price,Status,Sales Representative
ORD-10001-2025-CA,2024-07-06,Router,Electronics,East,CUST-5792,3,"$1,055.00",Shipped,Bob
ORD-10002-2025-TX,2024-01-26,Printer,Electronics,Central,CUST-3288,5,$452.00,Shipped,David
ORD-10003-2025-TX,2024-04-28,Printer,Electronics,North,CUST-4539,2,"$1,002.00",Pending,Alice
ORD-10004-2025-TX,2024-11-11,External HDD,Peripherals,Central,CUST-8979,5,$132.00,Shipped,Charlie
ORD-10005-2025-TX,2024-09-14,SSD Drive,Accessories,West,CUST-9737,5,$263.00,Shipped,David
ORD-10006-2025-AZ,2024-08-30,Gaming Headset,Gaming,North,CUST-6090,5,$114.00,Pending,Eve
ORD-10007-2025-TX,2024-09-20,Monitor,Electronics,North,CUST-3083,3,$809.00,Shipped,Frank
ORD-10008-2025-AZ,2025-05-16,External HDD,Networking,West,CUST-1867,5,$271.00,Cancelled,Bob
ORD-10009-2025-CA,2024-11-01,SSD Drive,Networking,West,CUST-7873,4,$233.00,Shipped,Alice
ORD-10010-2025-TX,2024-12-23,Webcam,Peripherals,East,CUST-1905,2,$29.00,Cancelled,Bob
ORD-10011-2025-AZ,2025-05-20,Mouse,Peripherals,Central,CUST-5429,1,$73.00,Shipped,Charlie
ORD-10012-2025-AZ,2024-10-02,Printer,Electronics,West,CUST-2049,3,"$1,481.00",Shipped,Alice
ORD-10013-2025-CA,2024-05-30,Laptop,Electronics,Central,CUST-4444,1,"$1,414.00",Cancelled,Bob
ORD-10014-2025-TX,2024-01-07,Printer,Electronics,West,CUST-7310,2,"$1,020.00",Shipped,Bob
ORD-10015-2025-TX,2024-11-10,Mouse,Peripherals,East,CUST-2065,5,$75.00,Shipped,Charlie
ORD-10016-2025-CA,2024-09-16,External HDD,Storage,Central,CUST-6673,2,$50.00,Shipped,Alice
ORD-10017-2025-TX,2024-05-16,Router,Electronics,East,CUST-6035,3,"$1,137.00",Pending,Alice
ORD-10018-2025-TX,2024-09-12,Laptop,Electronics,North,CUST-3267,3,"$1,256.00",Cancelled,Frank
ORD-10019-2025-AZ,2024-06-10,Webcam,Peripherals,West,CUST-5242,4,$24.00,Cancelled,Frank
ORD-10020-2025-TX,2024-01-05,Router,Electronics,West,CUST-2678,1,"$1,196.00",Pending,Bob
ORD-10021-2025-AZ,2024-01-09,External HDD,Storage,West,CUST-2554,3,$107.00,Shipped,Bob
ORD-10022-2025-TX,2024-12-25,External HDD,Peripherals,West,CUST-8999,2,$251.00,Pending,Alice
ORD-10023-2025-TX,2024-06-09,Monitor,Electronics,South,CUST-9218,5,$668.00,Shipped,Charlie
ORD-10024-2025-CA,2025-02-02,Webcam,Peripherals,East,CUST-7809,3,$72.00,Shipped,David
ORD-10025-2025-CA,2024-04-21,Monitor,Electronics,West,CUST-2674,5,$412.00,Shipped,Charlie
ORD-10026-2025-CA,2025-02-19,Monitor,Electronics,South,CUST-4550,3,$602.00,Cancelled,Frank
ORD-10027-2025-AZ,2025-05-26,Router,Electronics,East,CUST-6248,3,$629.00,Shipped,Bob
ORD-10028-2025-CA,2025-02-28,Mouse,Peripherals,North,CUST-1017,3,$69.00,Pending,Bob
ORD-10029-2025-TX,2024-02-22,Mouse,Peripherals,North,CUST-5047,1,$126.00,Shipped,Charlie
ORD-10030-2025-CA,2024-11-03,Gaming Headset,Gaming,Central,CUST-6043,2,$200.00,Shipped,Alice
ORD-10031-2025-CA,2024-04-30,Monitor,Electronics,North,CUST-9594,5,$900.00,Shipped,Charlie
ORD-10032-2025-AZ,2025-01-17,External HDD,Storage,West,CUST-8187,4,$190.00,Shipped,David
ORD-10033-2025-CA,2024-05-08,Mouse,Peripherals,West,CUST-7822,4,$140.00,Shipped,Alice
ORD-10034-2025-CA,2024-08-31,Gaming Headset,Gaming,North,CUST-9293,4,$217.00,Shipped,Charlie
ORD-10035-2025-TX,2024-03-03,Mouse,Peripherals,East,CUST-4196,2,$124.00,Pending,Frank
ORD-10036-2025-CA,2024-06-04,Keyboard,Peripherals,Central,CUST-2087,2,$46.00,Shipped,David
ORD-10037-2025-TX,2024-07-29,Monitor,Electronics,South,CUST-4694,2,$422.00,Shipped,David
ORD-10038-2025-AZ,2025-03-12,Router,Electronics,Central,CUST-9598,4,"$1,245.00",Shipped,David
ORD-10039-2025-CA,2025-01-20,Keyboard,Peripherals,Central,CUST-4829,4,$135.00,Cancelled,Eve
ORD-10040-2025-CA,2024-03-14,Mouse,Peripherals,North,CUST-2655,5,$40.00,Shipped,Alice
ORD-10041-2025-AZ,2024-03-29,Gaming Headset,Gaming,East,CUST-7281,2,$152.00,Shipped,Frank
ORD-10042-2025-AZ,2024-07-26,Router,Electronics,South,CUST-6479,5,$647.00,Shipped,Bob
ORD-10043-2025-CA,2024-06-10,SSD Drive,Networking,West,CUST-6550,1,$199.00,Shipped,Bob
ORD-10044-2025-AZ,2024-01-11,Printer,Electronics,North,CUST-2833,5,$742.00,Cancelled,Bob
ORD-10045-2025-TX,2024-06-20,Keyboard,Peripherals,West,CUST-8462,4,$44.00,Shipped,Frank
ORD-10046-2025-AZ,2025-01-22,SSD Drive,Storage,South,CUST-1458,1,$127.00,Shipped,David
ORD-10047-2025-TX,2025-06-11,Laptop,Electronics,North,CUST-9770,3,$818.00,Shipped,Alice
ORD-10048-2025-AZ,2024-11-12,Monitor,Electronics,North,CUST-9429,1,"$1,233.00",Shipped,Frank
ORD-10049-2025-TX,2024-04-11,Keyboard,Peripherals,West,CUST-4553,2,$43.00,Shipped,Eve
ORD-10050-2025-TX,2024-10-10,Printer,Electronics,West,CUST-4344,2,$496.00,Shipped,David
ORD-10051-2025-TX,2024-08-24,Mouse,Peripherals,East,CUST-2332,2,$92.00,Shipped,Frank
ORD-10052-2025-TX,2024-08-14,Monitor,Electronics,West,CUST-9303,3,$789.00,Shipped,Charlie
ORD-10053-2025-TX,2024-06-02,Printer,Electronics,Central,CUST-2554,1,"$1,337.00",Shipped,Eve
ORD-10054-2025-AZ,2025-06-04,Laptop,Electronics,West,CUST-4937,5,"$1,249.00",Shipped,Frank
ORD-10055-2025-TX,2024-09-16,Monitor,Electronics,North,CUST-8765,2,"$1,098.00",Shipped,Bob
ORD-10056-2025-AZ,2024-01-07,Mouse,Peripherals,North,CUST-3422,3,$109.00,Shipped,Alice
ORD-10057-2025-AZ,2025-04-29,SSD Drive,Peripherals,West,CUST-6338,1,$296.00,Pending,Charlie
ORD-10058-2025-AZ,2024-12-19,Laptop,Electronics,North,CUST-4955,3,$720.00,Pending,Frank
ORD-10059-2025-AZ,2025-04-18,Gaming Headset,Gaming,West,CUST-8287,5,$149.00,Pending,Eve
